chain	gene	group	self_mass
TRA	TRAV10	1	0.691614
TRA	TRAV12-1	1	0.711868
TRA	TRAV8-2	1	0.182187
TRA	TRAV13-1	2	0.54179
TRA	TRAV23/DV6	2	0.164765
TRA	TRAV29/DV5	2	0.377278
TRA	TRAV16	3	0.150108
TRA	TRAV19	3	0.66238
TRA	TRAV9-2	3	0.27389
TRA	TRAV1-1	4	0.191348
TRA	TRAV1-2	4	0.171017
TRA	TRAV12-3	5	0.51457
TRA	TRAV14/DV4	5	0.795616
TRA	TRAV13-2	6	0.725772
TRA	TRAV5	6	0.255458
TRA	TRAV25	7	0.176793
TRA	TRAV35	7	0.413356
TRA	TRAV12-2	8	0.131907
TRA	TRAV17	9	0.792641
TRA	TRAV2	10	0.16082
TRA	TRAV20	11	0.50109
TRA	TRAV21	12	0.210609
TRA	TRAV22	13	0.175276
TRA	TRAV24	14	0.2303
TRA	TRAV26-1	15	0.913122
TRA	TRAV26-2	16	0.758491
TRA	TRAV27	17	0.507075
TRA	TRAV3	18	0.068072
TRA	TRAV30	19	0.828795
TRA	TRAV34	20	0.713625
TRA	TRAV36/DV7	21	0.179447
TRA	TRAV38-1	22	0.520148
TRA	TRAV38-2/DV8	23	0.718733
TRA	TRAV39	24	0.282701
TRA	TRAV4	25	0.911136
TRA	TRAV40	26	0.595578
TRA	TRAV41	27	0.139753
TRA	TRAV6	28	0.351097
TRA	TRAV7	29	0.0
TRA	TRAV8-1	30	0.218631
TRA	TRAV8-3	31	0.188566
TRA	TRAV8-4	32	0.078751
TRA	TRAV8-6	33	0.19493
TRA	TRAV9-1	34	0.003631
