chain	gene	group	self_mass
TRB	TRBV11-2	1	0.04649
TRB	TRBV11-3	1	0.043904
TRB	TRBV27	1	0.087688
TRB	TRBV28	1	0.048623
TRB	TRBV5-1	1	0.104396
TRB	TRBV5-6	1	0.040078
TRB	TRBV7-2	1	0.040705
TRB	TRBV7-3	1	0.072725
TRB	TRBV7-9	1	0.061685
TRB	TRBV10-1	2	0.11278
TRB	TRBV2	2	0.045194
TRB	TRBV25-1	2	0.066592
TRB	TRBV6-1	2	0.11649
TRB	TRBV6-4	2	0.228744
TRB	TRBV14	3	0.128649
TRB	TRBV3-1	3	0.135777
TRB	TRBV4-1	3	0.133569
TRB	TRBV4-2	3	0.076166
TRB	TRBV4-3	3	0.076088
TRB	TRBV6-2	4	0.056544
TRB	TRBV6-3	4	0.048484
TRB	TRBV6-5	4	0.053701
TRB	TRBV6-6	4	0.043193
TRB	TRBV13	5	0.046159
TRB	TRBV9	5	0.279471
TRB	TRBV15	6	0.587305
TRB	TRBV24-1	6	0.861135
TRB	TRBV20-1	7	0.936832
TRB	TRBV29-1	7	0.800797
TRB	TRBV1	8	0.0
TRB	TRBV10-2	9	0.023791
TRB	TRBV10-3	10	0.782282
TRB	TRBV11-1	11	0.005255
TRB	TRBV12-3	12	0.026888
TRB	TRBV12-4	13	0.020713
TRB	TRBV12-5	14	0.649602
TRB	TRBV16	15	0.007487
TRB	TRBV17	16	0.0
TRB	TRBV18	17	0.145172
TRB	TRBV19	18	0.205367
TRB	TRBV30	19	0.882643
TRB	TRBV5-4	20	0.030703
TRB	TRBV5-5	21	0.013855
TRB	TRBV5-8	22	0.008085
TRB	TRBV7-6	23	0.021453
TRB	TRBV7-7	24	0.013083
TRB	TRBV7-8	25	0.016228
